Date,Open,High,Low,Close,Adj Close,Volume
"Dec 23, 2015",6083.1,6248.5,6083.1,6241,6241,578630000
"Dec 22, 2015",6034.8,6090.6,6031.8,6083.1,6083.1,424323400
"Dec 21, 2015",6052.4,6114,6034.8,6034.8,6034.8,545001400
"Dec 18, 2015",6102.5,6105.6,6051.7,6052.4,6052.4,1234966800
"Dec 17, 2015",6061.2,6160.8,6061.2,6102.5,6102.5,725125100
"Dec 16, 2015",6017.8,6089.3,6016.3,6061.2,6061.2,750664600
"Dec 15, 2015",5874.1,6036.7,5874.1,6017.8,6017.8,811231700
"Dec 14, 2015",5952.8,6009.9,5871.9,5874.1,5874.1,781019600
"Dec 11, 2015",6088.1,6088.1,5949.8,5952.8,5952.8,805984900
"Dec 10, 2015",6126.7,6127.1,6080,6088.1,6088.1,838093600
"Dec 09, 2015",6135.2,6175.8,6101.2,6126.7,6126.7,751852900
"Dec 08, 2015",6223.5,6224.9,6120.7,6135.2,6135.2,790574400
"Dec 07, 2015",6238.3,6287.2,6215.2,6223.5,6223.5,542255600
"Dec 04, 2015",6275,6277.6,6219.5,6238.3,6238.3,662790200
"Dec 03, 2015",6420.9,6444.7,6275,6275,6275,793356800
"Dec 02, 2015",6395.7,6447.3,6395.2,6420.9,6420.9,566098900
"Dec 01, 2015",6356.1,6402.4,6356.1,6395.7,6395.7,784743400
"Nov 30, 2015",6375.2,6387.1,6329.9,6356.1,6356.1,834458200
"Nov 27, 2015",6393.1,6393.1,6345.3,6375.2,6375.2,471764000
"Nov 26, 2015",6337.6,6395.3,6333.9,6393.1,6393.1,453793700
"Nov 25, 2015",6277.2,6348.1,6277.2,6337.6,6337.6,673258600
"Nov 24, 2015",6305.5,6305.5,6221.3,6277.2,6277.2,854059000
"Nov 23, 2015",6334.6,6334.6,6267.1,6305.5,6305.5,585321500
"Nov 20, 2015",6329.9,6360.7,6311.8,6334.6,6334.6,808632500
"Nov 19, 2015",6279,6366.9,6279,6329.9,6329.9,752196900
"Nov 18, 2015",6268.8,6283.9,6228.2,6279,6279,615094500
"Nov 17, 2015",6146.4,6269.4,6146.4,6268.8,6268.8,697486200
"Nov 16, 2015",6118.3,6161.9,6079.8,6146.4,6146.4,602945000
"Nov 13, 2015",6178.7,6179,6088.8,6118.3,6118.3,681574100
"Nov 12, 2015",6297.2,6300.9,6178.7,6178.7,6178.7,826908500
"Nov 11, 2015",6275.3,6327.2,6272.7,6297.2,6297.2,618113900
"Nov 10, 2015",6295.2,6329.7,6250.3,6275.3,6275.3,725649900
"Nov 09, 2015",6353.8,6380.4,6292.1,6295.2,6295.2,658685600
"Nov 06, 2015",6364.9,6395.2,6332.7,6353.8,6353.8,711572600
"Nov 05, 2015",6412.9,6421.8,6358.1,6364.9,6364.9,722038900
"Nov 04, 2015",6383.6,6459.5,6383,6412.9,6412.9,759872100
"Nov 03, 2015",6361.8,6383.6,6344.7,6383.6,6383.6,608961200
"Nov 02, 2015",6361.1,6364.4,6317.3,6361.8,6361.8,506603500
"Oct 30, 2015",6395.8,6410.3,6337.7,6361.1,6361.1,716340400
"Oct 29, 2015",6437.8,6437.9,6358.2,6395.8,6395.8,826622300
"Oct 28, 2015",6365.3,6448.5,6355.8,6437.8,6437.8,819718100
"Oct 27, 2015",6417,6419.6,6365.3,6365.3,6365.3,564355600
"Oct 26, 2015",6444.1,6453,6405.4,6417,6417,441044400
"Oct 23, 2015",6376.3,6487.9,6376.3,6444.1,6444.1,749535500
"Oct 22, 2015",6348.4,6387.3,6321.7,6376.3,6376.3,718398200
"Oct 21, 2015",6345.1,6387.3,6316.3,6348.4,6348.4,596747600
"Oct 20, 2015",6352.3,6367.8,6319.3,6345.1,6345.1,574547000
"Oct 19, 2015",6378,6408.1,6336.3,6352.3,6352.3,476841500
"Oct 16, 2015",6338.7,6398.2,6338.7,6378,6378,592309300
"Oct 15, 2015",6269.6,6351.4,6269.6,6338.7,6338.7,644982700
"Oct 14, 2015",6342.3,6342.3,6268.3,6269.6,6269.6,638445300
"Oct 13, 2015",6371.2,6371.2,6303,6342.3,6342.3,700891400
"Oct 12, 2015",6416.2,6416.2,6351.3,6371.2,6371.2,535951300
"Oct 09, 2015",6374.8,6453.2,6374.8,6416.2,6416.2,745150000
"Oct 08, 2015",6336.4,6380.3,6303.5,6374.8,6374.8,720040900
"Oct 07, 2015",6326.2,6396.3,6319.8,6336.4,6336.4,985472100
"Oct 06, 2015",6298.9,6343.7,6255.1,6326.2,6326.2,737901800
"Oct 05, 2015",6130,6301.1,6130,6298.9,6298.9,863396300
"Oct 02, 2015",6072.5,6176.2,6051.6,6130,6130,861807200
"Oct 01, 2015",6061.6,6172.8,6053.3,6072.5,6072.5,847372200
